REQ,Section,Claim,Status,File(s),Lines,Notes
REQ-0026,4.2,Local fallback append-only JSONL,PROVEN,exocortex/ledgers.py,44-50,Files opened with mode a
REQ-0027,5.1,Context pack schema all sections,UNPROVEN,--,--,No builder code
REQ-0028,5.2,Pack hashed SHA-256 in provenance,UNPROVEN,--,--,No hash computation
REQ-0029,5.2,operating_rules from MEMORY + CLAUDE.md,UNPROVEN,--,--,No file reading for rules
REQ-0030,5.2,session_history last 20 entries,UNPROVEN,--,--,No history query
REQ-0031,5.2,landmines hardcoded + CLAUDE.md,UNPROVEN,--,--,No landmine collection
REQ-0032,6.1,Git adapter with autonomy,UNPROVEN,--,--,No git adapter module
REQ-0033,6.2,Supabase adapter with autonomy,PARTIAL,services/supabase_client.py,1-139,Works; no autonomy checks
REQ-0034,6.3,Telegram adapter with autonomy,PARTIAL,services/telegram.py,1-68,Works; no autonomy checks
REQ-0035,6.4,Cloudflared adapter with autonomy,UNPROVEN,--,--,No adapter module
REQ-0036,6.5,Ollama adapter with autonomy,PARTIAL,services/brain_manager.py,1-224,Works; no autonomy gating
REQ-0037,6.6,File ingest adapter with autonomy,PARTIAL,routers/ingest.py,1-388,Works; no autonomy checks
REQ-0038,6.7,Dr. Data adapter with autonomy,PARTIAL,capability/tableau_to_powerbi.py,1-427,Works; no autonomy enforcement
REQ-0039,6.2,SUPABASE_SERVICE_ROLE_KEY never logged,PROVEN,services/supabase_client.py,15-20,env-only; confirmed by grep
REQ-0040,6.8,Curated offline; Spotify degrades,PROVEN,capability/mood_playlist.py capability/music.py,playlist:40-100 music:50-140,Curated hardcoded; Spotify catches errors
REQ-0041,7.1,7 brains with roles,PARTIAL,capability/registry.py joao_local_dispatch.py,registry:23 35 43,3 in registry; 16 agents in dispatch
REQ-0042,7.2,Full dispatch lifecycle,PARTIAL,joao_local_dispatch.py services/dispatch.py,dispatch:120-200,Sends to tmux; no job JSON/callback/provenance
REQ-0043,7.2,Job JSON at artifacts/job_BRAIN.json,UNPROVEN,--,--,No job file creation
REQ-0044,7.2,Brain POSTs to /joao/agent_callback,UNPROVEN,--,--,No callback endpoint
REQ-0045,7.3,Multi-brain mandatory for L3+,UNPROVEN,--,--,Not wired to dispatch
REQ-0046,7.3,Ollama drafts first,UNPROVEN,services/qa_pipeline.py,50-100,Uses paid APIs not Ollama
REQ-0047,8.1,All 5 secrets from env vars,PROVEN,various,various,All os.environ.get; zero hardcoded
REQ-0048,8.2,WU data never to external APIs,UNPROVEN,--,--,No data classification
REQ-0049,8.2,Provenance flags external API,UNPROVEN,--,--,No egress tracking
REQ-0050,8.3,No write outside job dir at L2,UNPROVEN,capability/artifact_store.py,28,Path traversal not blocked
REQ-0051,8.3,L3 writes require scoped WRITE_LOCK,UNPROVEN,--,--,No scope-check
REQ-0052,8.1,SSH key never read,PROVEN,services/dispatch.py,60-80,Transport only; 0600 temp file
REQ-0053,9,Endpoints under /joao/superpowers/,PROVEN,routers/superpowers.py,22,APIRouter prefix=/joao
REQ-0054,9,GET /superpowers/capabilities,PROVEN,routers/superpowers.py,53-56,Returns capabilities list
REQ-0055,9,POST /superpowers/route,PROVEN,routers/superpowers.py,46-50,Returns routing decision
REQ-0056,9,POST /superpowers/tableau,PROVEN,routers/superpowers.py,61-98,Accepts TWB/TWBX; 6 artifacts
REQ-0057,9,POST /superpowers/playlist,PROVEN,routers/superpowers.py,103-128,Returns playlist JSON
REQ-0058,9,POST /superpowers/dispatch,PROVEN,routers/superpowers.py,133-165,Routes to capability
REQ-0059,9,GET /superpowers/artifacts/{id},PROVEN,routers/superpowers.py,170-182,Lists artifacts
REQ-0060,9,GET /superpowers/provenance/{run_id},UNPROVEN,--,--,Endpoint missing
REQ-0061,9,POST /superpowers/undo/{run_id},UNPROVEN,--,--,Endpoint missing
REQ-0062,9,POST /superpowers/git/scan,UNPROVEN,--,--,Endpoint missing
REQ-0063,9,POST /superpowers/git/write,UNPROVEN,--,--,Endpoint missing
REQ-0064,9,POST /superpowers/git/ship,UNPROVEN,--,--,Endpoint missing
REQ-0065,9,GET /superpowers/tunnel/status,UNPROVEN,--,--,Endpoint missing
REQ-0066,9,POST /superpowers/context/build,UNPROVEN,--,--,Endpoint missing
REQ-0067,10,Superpowers router mounted,PROVEN,main.py routers/superpowers.py,,Router serving
REQ-0068,10,tableau_to_powerbi real Dr. Data,PROVEN,capability/tableau_to_powerbi.py,,Imports Dr. Data modules
REQ-0069,10,mood_playlist curated + Spotify,PROVEN,capability/mood_playlist.py capability/music.py,,Both adapters work
REQ-0070,10,Registry with intent classification,PROVEN,capability/registry.py,48-78,Keyword + extension
REQ-0071,10,Artifact store job-based,PROVEN,capability/artifact_store.py,,Per job_id storage
REQ-0072,10,UI at /joao/app,PROVEN,main.py static/,,Static files served
REQ-0082,registry,tableau 6 artifacts,PROVEN,capability/tableau_to_powerbi.py,,All 6 produced
REQ-0083,registry,Smoke parse DigitalAds TWBX,PARTIAL,routers/superpowers.py,,Endpoint exists; no auto test
REQ-0084,registry,Smoke reject non-TWB -> 400,PROVEN,routers/superpowers.py,76-77,Extension check
REQ-0085,registry,Smoke stressed->focused playlist,PARTIAL,routers/superpowers.py,,Endpoint exists; no auto test
REQ-0086,registry,Playlist undo noop,PROVEN,capability/mood_playlist.py,,No side effects
REQ-0087,registry,Git scan status per repo,UNPROVEN,--,--,No endpoint
REQ-0088,registry,Git write reject without WRITE_LOCK,UNPROVEN,--,--,No endpoint
REQ-0089,registry,Git ship reject without SHIP_LOCK,UNPROVEN,--,--,No endpoint
REQ-0090,registry,Tunnel name + hostnames,UNPROVEN,--,--,No endpoint
